UsageData 2026-05-06,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Failed,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Failed,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Failed,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Failed,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,TRIM,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Failed,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Failed,NA,1/29/2025,1/29/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,CATIA,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,CATIA,FLUIDS,Success,NA,1/29/2025,1/29/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/29/2025,1/29/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/29/2025,1/29/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/29/2025,1/29/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/29/2025,1/29/2025,TRUE,FALSE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/30/2025,1/30/2025,TRUE,FALSE
